fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
7,0,1,1345.449242728084,1345.449242728084,2016-04-03T19:47:03Z,28.53190000,-81.84653333,1.00,34.484
8,0,2,1364.449242728084,1364.449242728084,2016-04-03T19:47:22Z,28.53236667,-81.84656667,0.00,34.536
9,0,3,1369.449242728084,1369.449242728084,2016-04-03T19:47:27Z,28.53308333,-81.84660000,8.00,34.616
10,0,4,1374.449242728084,1374.449242728084,2016-04-03T19:47:32Z,28.53380000,-81.84660000,22.00,34.695
11,0,5,1379.449242728084,1379.449242728084,2016-04-03T19:47:37Z,28.53446667,-81.84645000,37.00,34.768
12,0,6,1384.449242728084,1384.449242728084,2016-04-03T19:47:42Z,28.53508333,-81.84615000,48.00,34.834
13,0,7,1389.449242728084,1389.449242728084,2016-04-03T19:47:47Z,28.53566667,-81.84575000,62.00,34.896
14,0,8,1394.449242728084,1394.449242728084,2016-04-03T19:47:52Z,28.53625000,-81.84536667,77.00,34.958
15,1,1,1399.449242728084,1399.449242728084,2016-04-03T19:47:57Z,28.53685000,-81.84508333,92.00,35.023
16,1,2,1404.449242728084,1404.449242728084,2016-04-03T19:48:02Z,28.53751667,-81.84485000,107.00,35.095
17,1,3,1409.449242728084,1409.449242728084,2016-04-03T19:48:07Z,28.53815000,-81.84468333,121.00,35.165
18,1,4,1414.449242728084,1414.449242728084,2016-04-03T19:48:12Z,28.53875000,-81.84465000,134.00,35.231
19,1,5,1419.449242728084,1419.449242728084,2016-04-03T19:48:17Z,28.53933333,-81.84480000,146.00,35.297
20,1,6,1424.449242728084,1424.449242728084,2016-04-03T19:48:22Z,28.53991667,-81.84503333,161.00,35.363
21,1,7,1429.449242728084,1429.449242728084,2016-04-03T19:48:27Z,28.54046667,-81.84540000,175.00,35.426
22,1,8,1434.449242728084,1434.449242728084,2016-04-03T19:48:32Z,28.54105000,-81.84576667,188.00,35.493
23,1,9,1439.449242728084,1439.449242728084,2016-04-03T19:48:37Z,28.54165000,-81.84613333,200.00,35.562
24,1,10,1444.449242728084,1444.449242728084,2016-04-03T19:48:42Z,28.54215000,-81.84656667,215.00,35.621
25,1,11,1449.449242728084,1449.449242728084,2016-04-03T19:48:47Z,28.54255000,-81.84713333,240.00,35.669
26,1,12,1454.449242728084,1454.449242728084,2016-04-03T19:48:52Z,28.54276667,-81.84783333,263.00,35.699
27,1,13,1459.449242728084,1459.449242728084,2016-04-03T19:48:57Z,28.54278333,-81.84871667,281.00,35.708
28,1,14,1464.449242728084,1464.449242728084,2016-04-03T19:49:02Z,28.54248333,-81.84961667,290.00,35.682
29,1,15,1469.449242728084,1469.449242728084,2016-04-03T19:49:07Z,28.54196667,-81.85035000,300.00,35.631
30,1,16,1474.449242728084,1474.449242728084,2016-04-03T19:49:12Z,28.54130000,-81.85091667,311.00,35.563
31,1,17,1479.449242728084,1479.449242728084,2016-04-03T19:49:17Z,28.54051667,-81.85118333,323.00,35.478
32,1,18,1484.449242728084,1484.449242728084,2016-04-03T19:49:22Z,28.53963333,-81.85116667,333.00,35.381
33,1,19,1489.449242728084,1489.449242728084,2016-04-03T19:49:27Z,28.53881667,-81.85086667,340.00,35.287
34,1,20,1494.449242728084,1494.449242728084,2016-04-03T19:49:32Z,28.53815000,-81.85031667,348.00,35.208
35,1,21,1499.449242728084,1499.449242728084,2016-04-03T19:49:37Z,28.53766667,-81.84965000,356.00,35.149
36,1,22,1504.449242728084,1504.449242728084,2016-04-03T19:49:42Z,28.53735000,-81.84891667,364.00,35.107
37,1,23,1509.449242728084,1509.449242728084,2016-04-03T19:49:47Z,28.53718333,-81.84820000,373.00,35.083
38,1,24,1514.449242728084,1514.449242728084,2016-04-03T19:49:52Z,28.53713333,-81.84741667,379.00,35.071
39,1,25,1519.449242728084,1519.449242728084,2016-04-03T19:49:57Z,28.53730000,-81.84670000,386.00,35.084
40,1,26,1524.449242728084,1524.449242728084,2016-04-03T19:50:02Z,28.53765000,-81.84608333,394.00,35.118
