fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
9,2016-04-09T19:01:44Z,28.53231667,-81.84650000,659.356256380146,659.356256380146,1,0,41.229,
10,2016-04-09T19:01:49Z,28.53325000,-81.84655000,664.356256380146,664.356256380146,2,0,41.332,
11,2016-04-09T19:01:54Z,28.53411667,-81.84643333,669.356256380146,669.356256380146,3,0,41.427,
12,2016-04-09T19:01:59Z,28.53488333,-81.84611667,674.356256380146,674.356256380146,4,0,41.51,
13,2016-04-09T19:02:04Z,28.53558333,-81.84591667,679.356256380146,679.356256380146,5,0,41.586,
14,2016-04-09T19:02:09Z,28.53621667,-81.84566667,684.356256380146,684.356256380146,6,0,41.654,
15,2016-04-09T19:02:14Z,28.53680000,-81.84540000,689.356256380146,689.356256380146,1,1,41.717,
16,2016-04-09T19:02:19Z,28.53743333,-81.84521667,694.356256380146,694.356256380146,2,1,41.786,
17,2016-04-09T19:02:24Z,28.53811667,-81.84516667,699.356256380146,699.356256380146,3,1,41.861,
18,2016-04-09T19:02:29Z,28.53871667,-81.84516667,704.356256380146,704.356256380146,4,1,41.928,
19,2016-04-09T19:02:34Z,28.53931667,-81.84521667,709.356256380146,709.356256380146,5,1,41.995,
20,2016-04-09T19:02:39Z,28.53991667,-81.84536667,714.356256380146,714.356256380146,6,1,42.062,
21,2016-04-09T19:02:44Z,28.54048333,-81.84560000,719.356256380146,719.356256380146,7,1,42.127,
22,2016-04-09T19:02:49Z,28.54106667,-81.84585000,724.356256380146,724.356256380146,8,1,42.193,
23,2016-04-09T19:02:54Z,28.54163333,-81.84626667,729.356256380146,729.356256380146,9,1,42.259,
24,2016-04-09T19:02:59Z,28.54215000,-81.84688333,734.356256380146,734.356256380146,10,1,42.321,
25,2016-04-09T19:03:04Z,28.54261667,-81.84758333,739.356256380146,739.356256380146,11,1,42.379,
26,2016-04-09T19:03:09Z,28.54296667,-81.84831667,744.356256380146,744.356256380146,12,1,42.423,
27,2016-04-09T19:03:14Z,28.54328333,-81.84910000,749.356256380146,749.356256380146,13,1,42.465,
28,2016-04-09T19:03:19Z,28.54360000,-81.84983333,754.356256380146,754.356256380146,14,1,42.506,
29,2016-04-09T19:03:24Z,28.54390000,-81.85056667,759.356256380146,759.356256380146,15,1,42.546,
30,2016-04-09T19:03:29Z,28.54410000,-81.85136667,764.356256380146,764.356256380146,16,1,42.575,
31,2016-04-09T19:03:34Z,28.54415000,-81.85225000,769.356256380146,769.356256380146,17,1,42.589,
32,2016-04-09T19:03:39Z,28.54398333,-81.85310000,774.356256380146,774.356256380146,18,1,42.579,
33,2016-04-09T19:03:44Z,28.54371667,-81.85390000,779.356256380146,779.356256380146,19,1,42.557,
