fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
8,,,,-715.0,-715.0,1,0,34.479,0.0
39,,,,-395.0,-395.0,27,1,34.464,0.0
40,,,,-385.0,-385.0,28,1,34.455,0.0
42,,,,-365.0,-365.0,30,1,34.333,0.0
43,,,,-355.0,-355.0,31,1,34.313,0.0
50,,,,-285.0,-285.0,38,1,34.296,0.0
52,,,,-265.0,-265.0,40,1,34.157,0.0
55,,,,-235.0,-235.0,43,1,34.107,0.0
57,,,,-215.0,-215.0,45,1,34.016,0.0
60,,,,-185.0,-185.0,48,1,33.96,0.0
64,,,,-145.0,-145.0,52,1,33.869,0.0
65,,,,-135.0,-135.0,53,1,33.809,0.0
68,,,,-105.0,-105.0,56,1,33.729,0.0
69,,,,-95.0,-95.0,57,1,33.705,0.0
73,,,,-55.0,-55.0,61,1,33.561,0.0
74,,,,-45.0,-45.0,62,1,33.457,0.0
78,,,,-5.0,-5.0,66,1,33.346,0.0
79,,,,5.0,5.0,67,1,33.34,0.0
83,,,,45.0,45.0,71,1,33.335,0.0
84,,,,55.0,55.0,72,1,33.197,0.0
85,,,,65.0,65.0,73,1,33.181,0.0
89,,,,105.0,105.0,77,1,33.138,0.0
92,,,,135.0,135.0,80,1,33.065,0.0
97,,,,185.0,185.0,85,1,33.048,0.0
98,,,,195.0,195.0,86,1,32.919,0.0
115,,,,366.0,366.0,103,1,32.842,0.0
116,,,,376.0,376.0,104,1,32.712,0.0
117,,,,386.0,386.0,105,1,32.711,0.0
122,,,,436.0,436.0,110,1,32.617,0.0
123,,,,446.0,446.0,111,1,32.58,0.0
124,,,,456.0,456.0,112,1,32.575,0.0
125,,,,466.0,466.0,113,1,32.451,0.0
128,,,,496.0,496.0,116,1,32.399,0.0
129,,,,506.0,506.0,117,1,32.256,0.0
130,,,,516.0,516.0,118,1,32.221,0.0
131,,,,526.0,526.0,119,1,32.154,0.0
132,,,,536.0,536.0,120,1,32.09,0.0
135,,,,566.0,566.0,123,1,32.005,0.0
136,,,,576.0,576.0,124,1,31.899,0.0
137,,,,586.0,586.0,125,1,31.817,0.0
