fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
110,0,1,923.911911967038,923.911911967038,,,,1279.0,43.387
142,1,24,955.911911967038,955.911911967038,,,,1228.0,43.382
143,1,25,956.911911967038,956.911911967038,,,,1227.0,43.372
144,1,26,957.911911967038,957.911911967038,,,,1226.0,43.362
145,1,27,958.911911967038,958.911911967038,,,,1223.0,43.349
146,1,28,959.911911967038,959.911911967038,,,,1220.0,43.343
147,1,29,960.911911967038,960.911911967038,,,,1217.0,43.333
148,1,30,961.911911967038,961.911911967038,,,,1216.0,43.324
149,1,31,962.911911967038,962.911911967038,,,,1214.0,43.315
150,1,32,963.911911967038,963.911911967038,,,,1212.0,43.305
151,1,33,964.911911967038,964.911911967038,,,,1210.0,43.295
152,1,34,965.911911967038,965.911911967038,,,,1208.0,43.284
153,1,35,966.911911967038,966.911911967038,,,,1207.0,43.274
154,1,36,967.911911967038,967.911911967038,,,,1206.0,43.263
155,1,37,968.911911967038,968.911911967038,,,,1205.0,43.253
156,1,38,969.911911967038,969.911911967038,,,,1202.0,43.243
157,1,39,970.911911967038,970.911911967038,,,,1198.0,43.225
158,1,40,971.911911967038,971.911911967038,,,,1196.0,43.214
159,1,41,972.911911967038,972.911911967038,,,,1196.0,43.205
160,1,42,973.911911967038,973.911911967038,,,,1196.0,43.195
161,1,43,974.911911967038,974.911911967038,,,,1196.0,43.186
162,1,44,975.911911967038,975.911911967038,,,,1193.0,43.177
163,1,45,976.911911967038,976.911911967038,,,,1192.0,43.165
164,1,46,977.911911967038,977.911911967038,,,,1191.0,43.154
165,1,47,978.911911967038,978.911911967038,,,,1190.0,43.143
166,1,48,979.911911967038,979.911911967038,,,,1190.0,43.13
167,1,49,980.911911967038,980.911911967038,,,,1190.0,43.118
168,1,50,981.911911967038,981.911911967038,,,,1190.0,43.107
169,1,51,983.911911967038,983.911911967038,,,,1191.0,43.094
170,1,52,984.911911967038,984.911911967038,,,,1192.0,43.083
171,1,53,985.911911967038,985.911911967038,,,,1192.0,43.071
172,1,54,986.911911967038,986.911911967038,,,,1191.0,43.06
173,1,55,987.911911967038,987.911911967038,,,,1190.0,43.048
174,1,56,988.911911967038,988.911911967038,,,,1190.0,43.038
175,1,57,989.911911967038,989.911911967038,,,,1192.0,43.028
176,1,58,990.911911967038,990.911911967038,,,,1193.0,43.018
177,1,59,991.911911967038,991.911911967038,,,,1193.0,43.01
178,1,60,992.911911967038,992.911911967038,,,,1193.0,43.0
179,1,61,993.911911967038,993.911911967038,,,,1192.0,42.989
180,1,62,994.911911967038,994.911911967038,,,,1190.0,42.976
181,1,63,995.911911967038,995.911911967038,,,,1190.0,42.962
182,1,64,996.911911967038,996.911911967038,,,,1190.0,42.948
183,1,65,997.911911967038,997.911911967038,,,,1190.0,42.933
184,1,66,998.911911967038,998.911911967038,,,,1189.0,42.918
185,1,67,999.911911967038,999.911911967038,,,,1188.0,42.905
186,1,68,1000.911911967038,1000.911911967038,,,,1188.0,42.89
187,1,69,1001.911911967038,1001.911911967038,,,,1188.0,42.878
188,1,70,1002.911911967038,1002.911911967038,,,,1189.0,42.867
189,1,71,1003.911911967038,1003.911911967038,,,,1191.0,42.856
190,1,72,1004.911911967038,1004.911911967038,,,,1193.0,42.848
191,1,73,1005.911911967038,1005.911911967038,,,,1193.0,42.842
192,1,74,1006.911911967038,1006.911911967038,,,,1192.0,42.836
193,1,75,1007.911911967038,1007.911911967038,,,,1190.0,42.831
194,1,76,1008.911911967038,1008.911911967038,,,,1189.0,42.826
195,1,77,1009.911911967038,1009.911911967038,,,,1188.0,42.82
196,1,78,1010.911911967038,1010.911911967038,,,,1187.0,42.817
197,1,79,1011.911911967038,1011.911911967038,,,,1187.0,42.812
198,1,80,1012.911911967038,1012.911911967038,,,,1187.0,42.808
199,1,81,1013.911911967038,1013.911911967038,,,,1188.0,42.805
200,1,82,1014.911911967038,1014.911911967038,,,,1188.0,42.801
201,1,83,1015.911911967038,1015.911911967038,,,,1188.0,42.799
202,1,84,1016.911911967038,1016.911911967038,,,,1187.0,42.798
226,1,108,1041.911911967038,1041.911911967038,,,,1219.0,42.796
227,1,109,1042.911911967038,1042.911911967038,,,,1223.0,42.786
228,1,110,1043.911911967038,1043.911911967038,,,,1225.0,42.779
229,1,111,1044.911911967038,1044.911911967038,,,,1225.0,42.777
230,1,112,1045.911911967038,1045.911911967038,,,,1225.0,42.776
263,1,145,1079.911911967038,1079.911911967038,,,,1269.0,42.766
264,1,146,1080.911911967038,1080.911911967038,,,,1272.0,42.757
265,1,147,1081.911911967038,1081.911911967038,,,,1274.0,42.749
266,1,148,1082.911911967038,1082.911911967038,,,,1275.0,42.745
292,1,174,1108.911911967038,1108.911911967038,,,,1294.0,42.742
