fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,6.0,-1590.06175762644,-1590.06175762644,1,0,41.301,0.0
696,,,,675.0,-895.06175762644,-895.06175762644,656,1,41.291,0.0
697,,,,677.0,-894.06175762644,-894.06175762644,657,1,41.276,0.0
698,,,,678.0,-893.06175762644,-893.06175762644,658,1,41.261,0.0
699,,,,678.0,-892.06175762644,-892.06175762644,659,1,41.249,0.0
700,,,,679.0,-891.06175762644,-891.06175762644,660,1,41.239,0.0
701,,,,679.0,-890.06175762644,-890.06175762644,661,1,41.234,0.0
712,,,,665.0,-879.06175762644,-879.06175762644,672,1,41.233,0.0
713,,,,667.0,-878.06175762644,-878.06175762644,673,1,41.215,0.0
714,,,,669.0,-877.06175762644,-877.06175762644,674,1,41.198,0.0
715,,,,671.0,-876.06175762644,-876.06175762644,675,1,41.183,0.0
716,,,,672.0,-875.06175762644,-875.06175762644,676,1,41.169,0.0
717,,,,670.0,-874.06175762644,-874.06175762644,677,1,41.159,0.0
718,,,,669.0,-873.06175762644,-873.06175762644,678,1,41.154,0.0
733,,,,656.0,-858.06175762644,-858.06175762644,693,1,41.145,0.0
734,,,,658.0,-857.06175762644,-857.06175762644,694,1,41.126,0.0
735,,,,661.0,-856.06175762644,-856.06175762644,695,1,41.112,0.0
736,,,,661.0,-855.06175762644,-855.06175762644,696,1,41.097,0.0
737,,,,660.0,-854.06175762644,-854.06175762644,697,1,41.085,0.0
738,,,,658.0,-853.06175762644,-853.06175762644,698,1,41.072,0.0
739,,,,656.0,-852.06175762644,-852.06175762644,699,1,41.058,0.0
740,,,,654.0,-851.06175762644,-851.06175762644,700,1,41.043,0.0
741,,,,651.0,-850.06175762644,-850.06175762644,701,1,41.028,0.0
742,,,,649.0,-849.06175762644,-849.06175762644,702,1,41.014,0.0
743,,,,646.0,-848.06175762644,-848.06175762644,703,1,40.999,0.0
744,,,,645.0,-847.06175762644,-847.06175762644,704,1,40.984,0.0
745,,,,643.0,-846.06175762644,-846.06175762644,705,1,40.97,0.0
746,,,,641.0,-845.06175762644,-845.06175762644,706,1,40.96,0.0
747,,,,639.0,-844.06175762644,-844.06175762644,707,1,40.951,0.0
748,,,,636.0,-843.06175762644,-843.06175762644,708,1,40.944,0.0
749,,,,633.0,-842.06175762644,-842.06175762644,709,1,40.937,0.0
750,,,,633.0,-841.06175762644,-841.06175762644,710,1,40.931,0.0
751,,,,632.0,-840.06175762644,-840.06175762644,711,1,40.925,0.0
752,,,,631.0,-839.06175762644,-839.06175762644,712,1,40.92,0.0
753,,,,631.0,-838.06175762644,-838.06175762644,713,1,40.917,0.0
754,,,,629.0,-837.06175762644,-837.06175762644,714,1,40.914,0.0
755,,,,627.0,-836.06175762644,-836.06175762644,715,1,40.913,0.0
756,,,,624.0,-835.06175762644,-835.06175762644,716,1,40.912,0.0
757,,,,622.0,-834.06175762644,-834.06175762644,717,1,40.911,0.0
854,,,,674.0,-737.06175762644,-737.06175762644,814,1,40.902,0.0
855,,,,676.0,-736.06175762644,-736.06175762644,815,1,40.885,0.0
856,,,,677.0,-735.06175762644,-735.06175762644,816,1,40.869,0.0
857,,,,677.0,-734.06175762644,-734.06175762644,817,1,40.855,0.0
858,,,,677.0,-733.06175762644,-733.06175762644,818,1,40.846,0.0
859,,,,676.0,-732.06175762644,-732.06175762644,819,1,40.839,0.0
860,,,,676.0,-731.06175762644,-731.06175762644,820,1,40.838,0.0
875,,,,690.0,-716.06175762644,-716.06175762644,835,1,40.835,0.0
876,,,,691.0,-715.06175762644,-715.06175762644,836,1,40.816,0.0
877,,,,691.0,-714.06175762644,-714.06175762644,837,1,40.801,0.0
878,,,,691.0,-713.06175762644,-713.06175762644,838,1,40.787,0.0
879,,,,691.0,-712.06175762644,-712.06175762644,839,1,40.776,0.0
880,,,,691.0,-711.06175762644,-711.06175762644,840,1,40.768,0.0
881,,,,692.0,-710.06175762644,-710.06175762644,841,1,40.764,0.0
897,,,,705.0,-694.06175762644,-694.06175762644,857,1,40.756,0.0
898,,,,705.0,-693.06175762644,-693.06175762644,858,1,40.739,0.0
899,,,,705.0,-692.06175762644,-692.06175762644,859,1,40.723,0.0
900,,,,704.0,-691.06175762644,-691.06175762644,860,1,40.711,0.0
901,,,,704.0,-690.06175762644,-690.06175762644,861,1,40.7,0.0
902,,,,704.0,-689.06175762644,-689.06175762644,862,1,40.695,0.0
903,,,,705.0,-688.06175762644,-688.06175762644,863,1,40.692,0.0
920,,,,727.0,-671.06175762644,-671.06175762644,880,1,40.686,0.0
921,,,,725.0,-670.06175762644,-670.06175762644,881,1,40.67,0.0
922,,,,723.0,-669.06175762644,-669.06175762644,882,1,40.662,0.0
923,,,,722.0,-668.06175762644,-668.06175762644,883,1,40.66,0.0
944,,,,769.0,-647.06175762644,-647.06175762644,904,1,40.656,0.0
945,,,,771.0,-646.06175762644,-646.06175762644,905,1,40.64,0.0
946,,,,771.0,-645.06175762644,-645.06175762644,906,1,40.624,0.0
947,,,,772.0,-644.06175762644,-644.06175762644,907,1,40.609,0.0
948,,,,771.0,-643.06175762644,-643.06175762644,908,1,40.598,0.0
949,,,,772.0,-642.06175762644,-642.06175762644,909,1,40.593,0.0
950,,,,774.0,-641.06175762644,-641.06175762644,910,1,40.592,0.0
974,,,,798.0,-617.06175762644,-617.06175762644,934,1,40.578,0.0
975,,,,800.0,-616.06175762644,-616.06175762644,935,1,40.561,0.0
976,,,,803.0,-615.06175762644,-615.06175762644,936,1,40.543,0.0
977,,,,805.0,-614.06175762644,-614.06175762644,937,1,40.526,0.0
978,,,,807.0,-613.06175762644,-613.06175762644,938,1,40.508,0.0
979,,,,810.0,-612.06175762644,-612.06175762644,939,1,40.491,0.0
980,,,,810.0,-611.06175762644,-611.06175762644,940,1,40.474,0.0
981,,,,813.0,-610.06175762644,-610.06175762644,941,1,40.457,0.0
982,,,,812.0,-609.06175762644,-609.06175762644,942,1,40.44,0.0
983,,,,811.0,-608.06175762644,-608.06175762644,943,1,40.425,0.0
984,,,,811.0,-607.06175762644,-607.06175762644,944,1,40.411,0.0
985,,,,812.0,-606.06175762644,-606.06175762644,945,1,40.401,0.0
986,,,,812.0,-605.06175762644,-605.06175762644,946,1,40.392,0.0
987,,,,811.0,-604.06175762644,-604.06175762644,947,1,40.389,0.0
988,,,,812.0,-603.06175762644,-603.06175762644,948,1,40.388,0.0
1033,,,,874.0,-558.06175762644,-558.06175762644,993,1,40.374,0.0
1034,,,,874.0,-557.06175762644,-557.06175762644,994,1,40.356,0.0
1035,,,,875.0,-556.06175762644,-556.06175762644,995,1,40.341,0.0
1036,,,,878.0,-555.06175762644,-555.06175762644,996,1,40.328,0.0
1037,,,,881.0,-554.06175762644,-554.06175762644,997,1,40.32,0.0
1038,,,,882.0,-553.06175762644,-553.06175762644,998,1,40.313,0.0
1039,,,,884.0,-552.06175762644,-552.06175762644,999,1,40.31,0.0
1040,,,,885.0,-551.06175762644,-551.06175762644,1000,1,40.309,0.0
1062,,,,878.0,-529.06175762644,-529.06175762644,1022,1,40.294,0.0
1063,,,,878.0,-528.06175762644,-528.06175762644,1023,1,40.279,0.0
1064,,,,878.0,-527.06175762644,-527.06175762644,1024,1,40.263,0.0
1065,,,,880.0,-526.06175762644,-526.06175762644,1025,1,40.247,0.0
1066,,,,881.0,-525.06175762644,-525.06175762644,1026,1,40.233,0.0
1067,,,,883.0,-524.06175762644,-524.06175762644,1027,1,40.217,0.0
1068,,,,885.0,-523.06175762644,-523.06175762644,1028,1,40.202,0.0
1069,,,,886.0,-522.06175762644,-522.06175762644,1029,1,40.185,0.0
1070,,,,886.0,-521.06175762644,-521.06175762644,1030,1,40.169,0.0
1071,,,,886.0,-520.06175762644,-520.06175762644,1031,1,40.152,0.0
1072,,,,888.0,-519.06175762644,-519.06175762644,1032,1,40.135,0.0
1073,,,,890.0,-518.06175762644,-518.06175762644,1033,1,40.118,0.0
1074,,,,891.0,-517.06175762644,-517.06175762644,1034,1,40.104,0.0
1075,,,,893.0,-516.06175762644,-516.06175762644,1035,1,40.09,0.0
1076,,,,896.0,-515.06175762644,-515.06175762644,1036,1,40.08,0.0
1077,,,,897.0,-514.06175762644,-514.06175762644,1037,1,40.071,0.0
1078,,,,898.0,-513.06175762644,-513.06175762644,1038,1,40.068,0.0
1090,,,,910.0,-501.06175762644,-501.06175762644,1050,1,40.063,0.0
1091,,,,911.0,-500.06175762644,-500.06175762644,1051,1,40.047,0.0
1092,,,,911.0,-499.06175762644,-499.06175762644,1052,1,40.03,0.0
1093,,,,912.0,-498.06175762644,-498.06175762644,1053,1,40.011,0.0
1094,,,,914.0,-497.06175762644,-497.06175762644,1054,1,39.996,0.0
1095,,,,917.0,-496.06175762644,-496.06175762644,1055,1,39.982,0.0
1096,,,,920.0,-495.06175762644,-495.06175762644,1056,1,39.972,0.0
1097,,,,921.0,-494.06175762644,-494.06175762644,1057,1,39.965,0.0
1098,,,,922.0,-493.06175762644,-493.06175762644,1058,1,39.96,0.0
